"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6485","should show main content panel","Electron","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","22","should show status bar","Electron","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","166","should have menu bar items","Browser","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","27","should show status bar","Browser","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","6738","should be visible and active after opening ""sample.txt""","Electron","2026-09-09","passed","2026-09-09","Theia Text Editor","theia-text-editor.test.js","",""
"","108","should have menu bar items","Electron","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","680","should be dirty after changing the file contents and clean after save","Browser","2026-09-09","passed","2026-09-09","Theia Text Editor","theia-text-editor.test.js","",""
"","6531","should be visible and active after opening ""sample.txt""","Browser","2026-09-09","passed","2026-09-09","Theia Text Editor","theia-text-editor.test.js","",""
"","4370","should show main content panel","Browser","2026-09-09","passed","2026-09-09","Theia app","theia-app.test.js","",""
"","731","should be dirty after changing the file contents and clean after save","Electron","2026-09-09","passed","2026-09-09","Theia Text Editor","theia-text-editor.test.js","",""
