"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 03 04:11:07 GMT 2024","Tue Sep 03 04:11:07 GMT 2024","206","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Sep 03 04:11:18 GMT 2024","Tue Sep 03 04:11:19 GMT 2024","960","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Sep 03 04:11:04 GMT 2024","Tue Sep 03 04:11:18 GMT 2024","13891","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Sep 03 04:11:18 GMT 2024","Tue Sep 03 04:11:19 GMT 2024","1004","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Sep 03 04:11:07 GMT 2024","Tue Sep 03 04:11:07 GMT 2024","22","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Sep 03 04:11:07 GMT 2024","Tue Sep 03 04:11:18 GMT 2024","11692","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Sep 03 04:10:59 GMT 2024","Tue Sep 03 04:11:04 GMT 2024","5042","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Sep 03 04:11:04 GMT 2024","Tue Sep 03 04:11:04 GMT 2024","85","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Sep 03 04:11:02 GMT 2024","Tue Sep 03 04:11:07 GMT 2024","4406","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Sep 03 04:11:04 GMT 2024","Tue Sep 03 04:11:04 GMT 2024","20","Electron","theia-app.test.js","Theia app","","","should show status bar",""
