"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 05 04:09:25 GMT 2024","Fri Jan 05 04:09:26 GMT 2024","794","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Jan 05 04:09:13 GMT 2024","Fri Jan 05 04:09:13 GMT 2024","42","","","Theia app","","","should have menu bar items",""
"passed","Fri Jan 05 04:09:08 GMT 2024","Fri Jan 05 04:09:13 GMT 2024","4280","","","Theia app","","","should show main content panel",""
"passed","Fri Jan 05 04:09:13 GMT 2024","Fri Jan 05 04:09:25 GMT 2024","12052","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Jan 05 04:09:13 GMT 2024","Fri Jan 05 04:09:13 GMT 2024","29","","","Theia app","","","should show status bar",""
