"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 04:08:33 GMT 2024","Mon Apr 08 04:08:46 GMT 2024","12670","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Apr 08 04:08:33 GMT 2024","Mon Apr 08 04:08:33 GMT 2024","19","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Apr 08 04:09:03 GMT 2024","Mon Apr 08 04:09:04 GMT 2024","1007","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Apr 08 04:08:33 GMT 2024","Mon Apr 08 04:08:33 GMT 2024","223","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Apr 08 04:08:29 GMT 2024","Mon Apr 08 04:08:33 GMT 2024","4514","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Apr 08 04:08:48 GMT 2024","Mon Apr 08 04:08:48 GMT 2024","136","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Apr 08 04:08:38 GMT 2024","Mon Apr 08 04:08:48 GMT 2024","9789","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Apr 08 04:08:48 GMT 2024","Mon Apr 08 04:08:48 GMT 2024","166","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Apr 08 04:08:46 GMT 2024","Mon Apr 08 04:08:47 GMT 2024","999","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Apr 08 04:08:48 GMT 2024","Mon Apr 08 04:09:03 GMT 2024","14397","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
