"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","832","should be dirty after changing the file contents and clean after save","Electron","2026-09-07","passed","2026-09-07","Theia Text Editor","theia-text-editor.test.js","",""
"","8381","should be visible and active after opening ""sample.txt""","Browser","2026-09-07","passed","2026-09-07","Theia Text Editor","theia-text-editor.test.js","",""
"","8544","should be visible and active after opening ""sample.txt""","Electron","2026-09-07","passed","2026-09-07","Theia Text Editor","theia-text-editor.test.js","",""
"","29","should show status bar","Electron","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
"","850","should be dirty after changing the file contents and clean after save","Browser","2026-09-07","passed","2026-09-07","Theia Text Editor","theia-text-editor.test.js","",""
"","33","should show status bar","Browser","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
"","6795","should show main content panel","Electron","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
"","194","should have menu bar items","Browser","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
"","5583","should show main content panel","Browser","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
"","112","should have menu bar items","Electron","2026-09-07","passed","2026-09-07","Theia app","theia-app.test.js","",""
