"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 04:08:03 GMT 2024","Thu Apr 18 04:08:03 GMT 2024","21","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Apr 18 04:08:16 GMT 2024","Thu Apr 18 04:08:17 GMT 2024","989","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Apr 18 04:08:02 GMT 2024","Thu Apr 18 04:08:02 GMT 2024","42","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Apr 18 04:07:59 GMT 2024","Thu Apr 18 04:08:03 GMT 2024","3859","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Apr 18 04:07:57 GMT 2024","Thu Apr 18 04:08:02 GMT 2024","4846","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Apr 18 04:08:03 GMT 2024","Thu Apr 18 04:08:15 GMT 2024","12275","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Apr 18 04:08:03 GMT 2024","Thu Apr 18 04:08:03 GMT 2024","206","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Apr 18 04:08:02 GMT 2024","Thu Apr 18 04:08:02 GMT 2024","134","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Apr 18 04:08:02 GMT 2024","Thu Apr 18 04:08:16 GMT 2024","14062","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Apr 18 04:08:15 GMT 2024","Thu Apr 18 04:08:16 GMT 2024","1206","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
