"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 04:24:05 GMT 2023","Fri Jul 28 04:24:05 GMT 2023","83","","","Theia app","","","should have menu bar items",""
"passed","Fri Jul 28 04:24:20 GMT 2023","Fri Jul 28 04:24:21 GMT 2023","1013","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Jul 28 04:24:05 GMT 2023","Fri Jul 28 04:24:05 GMT 2023","42","","","Theia app","","","should show status bar",""
"passed","Fri Jul 28 04:24:05 GMT 2023","Fri Jul 28 04:24:20 GMT 2023","15117","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Jul 28 04:23:58 GMT 2023","Fri Jul 28 04:24:05 GMT 2023","6837","","","Theia app","","","should show main content panel",""
