"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 28 04:09:16 GMT 2024","Thu Mar 28 04:09:20 GMT 2024","4279","","","Theia app","","","should show main content panel",""
"passed","Thu Mar 28 04:09:20 GMT 2024","Thu Mar 28 04:09:20 GMT 2024","37","","","Theia app","","","should show status bar",""
"passed","Thu Mar 28 04:09:33 GMT 2024","Thu Mar 28 04:09:33 GMT 2024","833","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Mar 28 04:09:20 GMT 2024","Thu Mar 28 04:09:33 GMT 2024","12433","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Mar 28 04:09:20 GMT 2024","Thu Mar 28 04:09:20 GMT 2024","52","","","Theia app","","","should have menu bar items",""
