"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 17 04:23:30 GMT 2023","Thu Aug 17 04:23:31 GMT 2023","1078","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Aug 17 04:23:14 GMT 2023","Thu Aug 17 04:23:14 GMT 2023","52","","","Theia app","","","should have menu bar items",""
"passed","Thu Aug 17 04:23:09 GMT 2023","Thu Aug 17 04:23:14 GMT 2023","5648","","","Theia app","","","should show main content panel",""
"passed","Thu Aug 17 04:23:14 GMT 2023","Thu Aug 17 04:23:30 GMT 2023","15287","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Aug 17 04:23:14 GMT 2023","Thu Aug 17 04:23:14 GMT 2023","35","","","Theia app","","","should show status bar",""
