"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","208","should have menu bar items","Browser","Fri Apr 17 05:12:52 UTC 2026","passed","Fri Apr 17 05:12:52 UTC 2026","Theia app","theia-app.test.js","",""
"","27","should show status bar","Electron","Fri Apr 17 05:12:51 UTC 2026","passed","Fri Apr 17 05:12:51 UTC 2026","Theia app","theia-app.test.js","",""
"","6829","should be visible and active after opening ""sample.txt""","Browser","Fri Apr 17 05:12:52 UTC 2026","passed","Fri Apr 17 05:12:59 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","7159","should show main content panel","Electron","Fri Apr 17 05:12:44 UTC 2026","passed","Fri Apr 17 05:12:51 UTC 2026","Theia app","theia-app.test.js","",""
"","6336","should show main content panel","Browser","Fri Apr 17 05:12:45 UTC 2026","passed","Fri Apr 17 05:12:52 UTC 2026","Theia app","theia-app.test.js","",""
"","863","should be dirty after changing the file contents and clean after save","Electron","Fri Apr 17 05:13:00 UTC 2026","passed","Fri Apr 17 05:13:01 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","30","should show status bar","Browser","Fri Apr 17 05:12:52 UTC 2026","passed","Fri Apr 17 05:12:52 UTC 2026","Theia app","theia-app.test.js","",""
"","108","should have menu bar items","Electron","Fri Apr 17 05:12:51 UTC 2026","passed","Fri Apr 17 05:12:51 UTC 2026","Theia app","theia-app.test.js","",""
"","772","should be dirty after changing the file contents and clean after save","Browser","Fri Apr 17 05:12:59 UTC 2026","passed","Fri Apr 17 05:13:00 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","8525","should be visible and active after opening ""sample.txt""","Electron","Fri Apr 17 05:12:51 UTC 2026","passed","Fri Apr 17 05:13:00 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
