"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 04:08:06 GMT 2024","Tue Jun 04 04:08:10 GMT 2024","4915","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Jun 04 04:08:11 GMT 2024","Tue Jun 04 04:08:23 GMT 2024","12538","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Jun 04 04:07:56 GMT 2024","Tue Jun 04 04:08:00 GMT 2024","4608","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Jun 04 04:08:11 GMT 2024","Tue Jun 04 04:08:11 GMT 2024","199","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Jun 04 04:08:00 GMT 2024","Tue Jun 04 04:08:00 GMT 2024","109","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Jun 04 04:08:00 GMT 2024","Tue Jun 04 04:08:00 GMT 2024","17","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Jun 04 04:08:00 GMT 2024","Tue Jun 04 04:08:14 GMT 2024","13584","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Jun 04 04:08:23 GMT 2024","Tue Jun 04 04:08:24 GMT 2024","1077","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Jun 04 04:08:10 GMT 2024","Tue Jun 04 04:08:11 GMT 2024","17","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Jun 04 04:08:14 GMT 2024","Tue Jun 04 04:08:15 GMT 2024","907","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
