"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 04:24:32 GMT 2023","Wed Sep 27 04:24:32 GMT 2023","21","","","Theia app","","","should show status bar",""
"passed","Wed Sep 27 04:24:26 GMT 2023","Wed Sep 27 04:24:32 GMT 2023","5559","","","Theia app","","","should show main content panel",""
"passed","Wed Sep 27 04:24:32 GMT 2023","Wed Sep 27 04:24:32 GMT 2023","50","","","Theia app","","","should have menu bar items",""
"passed","Wed Sep 27 04:24:46 GMT 2023","Wed Sep 27 04:24:47 GMT 2023","1150","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Sep 27 04:24:32 GMT 2023","Wed Sep 27 04:24:46 GMT 2023","14108","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
