"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","should show status bar","Browser","Fri Mar 06 04:44:07 UTC 2026","passed","Fri Mar 06 04:44:07 UTC 2026","Theia app","theia-app.test.js","",""
"","8781","should show main content panel","Electron","Fri Mar 06 04:43:59 UTC 2026","passed","Fri Mar 06 04:44:08 UTC 2026","Theia app","theia-app.test.js","",""
"","1114","should be dirty after changing the file contents and clean after save","Electron","Fri Mar 06 04:44:17 UTC 2026","passed","Fri Mar 06 04:44:18 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","31","should show status bar","Electron","Fri Mar 06 04:44:08 UTC 2026","passed","Fri Mar 06 04:44:08 UTC 2026","Theia app","theia-app.test.js","",""
"","140","should have menu bar items","Electron","Fri Mar 06 04:44:08 UTC 2026","passed","Fri Mar 06 04:44:08 UTC 2026","Theia app","theia-app.test.js","",""
"","5522","should show main content panel","Browser","Fri Mar 06 04:44:02 UTC 2026","passed","Fri Mar 06 04:44:07 UTC 2026","Theia app","theia-app.test.js","",""
"","945","should be dirty after changing the file contents and clean after save","Browser","Fri Mar 06 04:44:14 UTC 2026","passed","Fri Mar 06 04:44:15 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","198","should have menu bar items","Browser","Fri Mar 06 04:44:07 UTC 2026","passed","Fri Mar 06 04:44:07 UTC 2026","Theia app","theia-app.test.js","",""
"","7038","should be visible and active after opening ""sample.txt""","Browser","Fri Mar 06 04:44:07 UTC 2026","passed","Fri Mar 06 04:44:14 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","8497","should be visible and active after opening ""sample.txt""","Electron","Fri Mar 06 04:44:08 UTC 2026","passed","Fri Mar 06 04:44:17 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
