"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","903","should be dirty after changing the file contents and clean after save","Browser","Thu Mar 05 13:54:19 UTC 2026","passed","Thu Mar 05 13:54:20 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","7045","should be visible and active after opening ""sample.txt""","Browser","Thu Mar 05 13:54:12 UTC 2026","passed","Thu Mar 05 13:54:19 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","4174","should show main content panel","Browser","Thu Mar 05 13:54:08 UTC 2026","passed","Thu Mar 05 13:54:12 UTC 2026","Theia app","theia-app.test.js","",""
"","117","should have menu bar items","Electron","Thu Mar 05 13:54:02 UTC 2026","passed","Thu Mar 05 13:54:03 UTC 2026","Theia app","theia-app.test.js","",""
"","23","should show status bar","Electron","Thu Mar 05 13:54:02 UTC 2026","passed","Thu Mar 05 13:54:02 UTC 2026","Theia app","theia-app.test.js","",""
"","29","should show status bar","Browser","Thu Mar 05 13:54:12 UTC 2026","passed","Thu Mar 05 13:54:12 UTC 2026","Theia app","theia-app.test.js","",""
"","8097","should be visible and active after opening ""sample.txt""","Electron","Thu Mar 05 13:54:03 UTC 2026","passed","Thu Mar 05 13:54:11 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","1057","should be dirty after changing the file contents and clean after save","Electron","Thu Mar 05 13:54:11 UTC 2026","passed","Thu Mar 05 13:54:12 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","190","should have menu bar items","Browser","Thu Mar 05 13:54:12 UTC 2026","passed","Thu Mar 05 13:54:12 UTC 2026","Theia app","theia-app.test.js","",""
"","7369","should show main content panel","Electron","Thu Mar 05 13:53:55 UTC 2026","passed","Thu Mar 05 13:54:02 UTC 2026","Theia app","theia-app.test.js","",""
