"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","should show status bar","Electron","Mon May 11 05:31:52 UTC 2026","passed","Mon May 11 05:31:52 UTC 2026","Theia app","theia-app.test.js","",""
"","7108","should be visible and active after opening ""sample.txt""","Browser","Mon May 11 05:31:57 UTC 2026","passed","Mon May 11 05:32:04 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","114","should have menu bar items","Electron","Mon May 11 05:31:52 UTC 2026","passed","Mon May 11 05:31:52 UTC 2026","Theia app","theia-app.test.js","",""
"","21","should show status bar","Browser","Mon May 11 05:31:57 UTC 2026","passed","Mon May 11 05:31:57 UTC 2026","Theia app","theia-app.test.js","",""
"","785","should be dirty after changing the file contents and clean after save","Electron","Mon May 11 05:32:00 UTC 2026","passed","Mon May 11 05:32:01 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","784","should be dirty after changing the file contents and clean after save","Browser","Mon May 11 05:32:04 UTC 2026","passed","Mon May 11 05:32:05 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","7766","should be visible and active after opening ""sample.txt""","Electron","Mon May 11 05:31:52 UTC 2026","passed","Mon May 11 05:32:00 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","188","should have menu bar items","Browser","Mon May 11 05:31:57 UTC 2026","passed","Mon May 11 05:31:57 UTC 2026","Theia app","theia-app.test.js","",""
"","7398","should show main content panel","Electron","Mon May 11 05:31:45 UTC 2026","passed","Mon May 11 05:31:52 UTC 2026","Theia app","theia-app.test.js","",""
"","6613","should show main content panel","Browser","Mon May 11 05:31:50 UTC 2026","passed","Mon May 11 05:31:57 UTC 2026","Theia app","theia-app.test.js","",""
