"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 04:07:53 GMT 2024","Fri Apr 12 04:07:58 GMT 2024","4457","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Fri Apr 12 04:07:58 GMT 2024","Fri Apr 12 04:07:58 GMT 2024","19","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Fri Apr 12 04:07:51 GMT 2024","Fri Apr 12 04:08:06 GMT 2024","14060","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Apr 12 04:07:47 GMT 2024","Fri Apr 12 04:07:51 GMT 2024","4791","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Fri Apr 12 04:08:11 GMT 2024","Fri Apr 12 04:08:12 GMT 2024","1116","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Apr 12 04:07:51 GMT 2024","Fri Apr 12 04:07:51 GMT 2024","23","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Fri Apr 12 04:07:51 GMT 2024","Fri Apr 12 04:07:51 GMT 2024","110","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Fri Apr 12 04:07:58 GMT 2024","Fri Apr 12 04:07:58 GMT 2024","224","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Fri Apr 12 04:07:58 GMT 2024","Fri Apr 12 04:08:11 GMT 2024","12620","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Apr 12 04:08:06 GMT 2024","Fri Apr 12 04:08:07 GMT 2024","1016","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
