"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8333","should be visible and active after opening ""sample.txt""","Browser","2026-09-25","passed","2026-09-25","Theia Text Editor","theia-text-editor.test.js","",""
"","8810","should be visible and active after opening ""sample.txt""","Electron","2026-09-25","passed","2026-09-25","Theia Text Editor","theia-text-editor.test.js","",""
"","48","should show status bar","Browser","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
"","893","should be dirty after changing the file contents and clean after save","Electron","2026-09-25","passed","2026-09-25","Theia Text Editor","theia-text-editor.test.js","",""
"","7671","should show main content panel","Electron","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
"","235","should have menu bar items","Browser","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
"","64","should show status bar","Electron","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
"","866","should be dirty after changing the file contents and clean after save","Browser","2026-09-25","passed","2026-09-25","Theia Text Editor","theia-text-editor.test.js","",""
"","152","should have menu bar items","Electron","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
"","6609","should show main content panel","Browser","2026-09-25","passed","2026-09-25","Theia app","theia-app.test.js","",""
