"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 04:25:24 GMT 2023","Fri Dec 01 04:25:24 GMT 2023","816","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Dec 01 04:25:12 GMT 2023","Fri Dec 01 04:25:24 GMT 2023","11755","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Dec 01 04:25:12 GMT 2023","Fri Dec 01 04:25:12 GMT 2023","36","","","Theia app","","","should have menu bar items",""
"passed","Fri Dec 01 04:25:12 GMT 2023","Fri Dec 01 04:25:12 GMT 2023","16","","","Theia app","","","should show status bar",""
"passed","Fri Dec 01 04:25:08 GMT 2023","Fri Dec 01 04:25:12 GMT 2023","4036","","","Theia app","","","should show main content panel",""
