"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 04:11:31 GMT 2024","Tue Aug 06 04:11:35 GMT 2024","3779","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Aug 06 04:11:48 GMT 2024","Tue Aug 06 04:11:49 GMT 2024","1105","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Aug 06 04:11:27 GMT 2024","Tue Aug 06 04:11:32 GMT 2024","5051","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Tue Aug 06 04:11:35 GMT 2024","Tue Aug 06 04:11:35 GMT 2024","28","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Aug 06 04:11:35 GMT 2024","Tue Aug 06 04:11:35 GMT 2024","228","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Aug 06 04:11:46 GMT 2024","Tue Aug 06 04:11:47 GMT 2024","937","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Tue Aug 06 04:11:32 GMT 2024","Tue Aug 06 04:11:32 GMT 2024","87","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Tue Aug 06 04:11:32 GMT 2024","Tue Aug 06 04:11:32 GMT 2024","21","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Tue Aug 06 04:11:32 GMT 2024","Tue Aug 06 04:11:46 GMT 2024","14077","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Tue Aug 06 04:11:35 GMT 2024","Tue Aug 06 04:11:48 GMT 2024","12342","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
