"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1147","should be dirty after changing the file contents and clean after save","Electron","2026-09-04","passed","2026-09-04","Theia Text Editor","theia-text-editor.test.js","",""
"","263","should have menu bar items","Browser","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
"","8096","should be visible and active after opening ""sample.txt""","Browser","2026-09-04","passed","2026-09-04","Theia Text Editor","theia-text-editor.test.js","",""
"","5947","should show main content panel","Browser","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
"","7400","should show main content panel","Electron","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
"","8823","should be visible and active after opening ""sample.txt""","Electron","2026-09-04","passed","2026-09-04","Theia Text Editor","theia-text-editor.test.js","",""
"","155","should have menu bar items","Electron","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
"","35","should show status bar","Electron","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
"","904","should be dirty after changing the file contents and clean after save","Browser","2026-09-04","passed","2026-09-04","Theia Text Editor","theia-text-editor.test.js","",""
"","33","should show status bar","Browser","2026-09-04","passed","2026-09-04","Theia app","theia-app.test.js","",""
