"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:29 GMT 2024","13059","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Oct 17 04:11:09 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","6883","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:30 GMT 2024","14005","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Oct 17 04:11:30 GMT 2024","Thu Oct 17 04:11:31 GMT 2024","947","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","269","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","20","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","20","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Oct 17 04:11:29 GMT 2024","Thu Oct 17 04:11:30 GMT 2024","1091","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Oct 17 04:11:11 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","5230","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Oct 17 04:11:16 GMT 2024","Thu Oct 17 04:11:16 GMT 2024","95","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
