"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8334","should show main content panel","Electron","Fri May 08 05:11:22 UTC 2026","passed","Fri May 08 05:11:31 UTC 2026","Theia app","theia-app.test.js","",""
"","4808","should show main content panel","Browser","Fri May 08 05:11:22 UTC 2026","passed","Fri May 08 05:11:27 UTC 2026","Theia app","theia-app.test.js","",""
"","6992","should be visible and active after opening ""sample.txt""","Browser","Fri May 08 05:11:27 UTC 2026","passed","Fri May 08 05:11:34 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","111","should have menu bar items","Electron","Fri May 08 05:11:31 UTC 2026","passed","Fri May 08 05:11:31 UTC 2026","Theia app","theia-app.test.js","",""
"","25","should show status bar","Electron","Fri May 08 05:11:31 UTC 2026","passed","Fri May 08 05:11:31 UTC 2026","Theia app","theia-app.test.js","",""
"","897","should be dirty after changing the file contents and clean after save","Electron","Fri May 08 05:11:40 UTC 2026","passed","Fri May 08 05:11:41 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","193","should have menu bar items","Browser","Fri May 08 05:11:27 UTC 2026","passed","Fri May 08 05:11:27 UTC 2026","Theia app","theia-app.test.js","",""
"","802","should be dirty after changing the file contents and clean after save","Browser","Fri May 08 05:11:34 UTC 2026","passed","Fri May 08 05:11:35 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","9155","should be visible and active after opening ""sample.txt""","Electron","Fri May 08 05:11:31 UTC 2026","passed","Fri May 08 05:11:40 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","18","should show status bar","Browser","Fri May 08 05:11:27 UTC 2026","passed","Fri May 08 05:11:27 UTC 2026","Theia app","theia-app.test.js","",""
