"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 04:09:15 GMT 2024","Thu Jan 18 04:09:15 GMT 2024","16","","","Theia app","","","should show status bar",""
"passed","Thu Jan 18 04:09:15 GMT 2024","Thu Jan 18 04:09:27 GMT 2024","11472","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Jan 18 04:09:27 GMT 2024","Thu Jan 18 04:09:27 GMT 2024","794","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Jan 18 04:09:15 GMT 2024","Thu Jan 18 04:09:15 GMT 2024","35","","","Theia app","","","should have menu bar items",""
"passed","Thu Jan 18 04:09:11 GMT 2024","Thu Jan 18 04:09:15 GMT 2024","4165","","","Theia app","","","should show main content panel",""
