"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 06 04:11:10 GMT 2024","Wed Nov 06 04:11:10 GMT 2024","22","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Nov 06 04:11:08 GMT 2024","Wed Nov 06 04:11:21 GMT 2024","12998","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Nov 06 04:11:10 GMT 2024","Wed Nov 06 04:11:10 GMT 2024","80","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Nov 06 04:11:04 GMT 2024","Wed Nov 06 04:11:08 GMT 2024","4271","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Nov 06 04:11:08 GMT 2024","Wed Nov 06 04:11:08 GMT 2024","21","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Nov 06 04:11:08 GMT 2024","Wed Nov 06 04:11:08 GMT 2024","229","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Nov 06 04:11:10 GMT 2024","Wed Nov 06 04:11:24 GMT 2024","14159","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Nov 06 04:11:24 GMT 2024","Wed Nov 06 04:11:25 GMT 2024","947","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Nov 06 04:11:05 GMT 2024","Wed Nov 06 04:11:10 GMT 2024","5122","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Nov 06 04:11:21 GMT 2024","Wed Nov 06 04:11:23 GMT 2024","1300","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
