"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","should have menu bar items","Electron","Thu Mar 05 12:51:29 UTC 2026","passed","Thu Mar 05 12:51:29 UTC 2026","Theia app","theia-app.test.js","",""
"","185","should have menu bar items","Browser","Thu Mar 05 12:51:25 UTC 2026","passed","Thu Mar 05 12:51:25 UTC 2026","Theia app","theia-app.test.js","",""
"","1042","should be dirty after changing the file contents and clean after save","Electron","Thu Mar 05 12:51:37 UTC 2026","passed","Thu Mar 05 12:51:39 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","6897","should be visible and active after opening ""sample.txt""","Browser","Thu Mar 05 12:51:25 UTC 2026","passed","Thu Mar 05 12:51:32 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","25","should show status bar","Electron","Thu Mar 05 12:51:29 UTC 2026","passed","Thu Mar 05 12:51:29 UTC 2026","Theia app","theia-app.test.js","",""
"","8223","should show main content panel","Electron","Thu Mar 05 12:51:21 UTC 2026","passed","Thu Mar 05 12:51:29 UTC 2026","Theia app","theia-app.test.js","",""
"","28","should show status bar","Browser","Thu Mar 05 12:51:25 UTC 2026","passed","Thu Mar 05 12:51:25 UTC 2026","Theia app","theia-app.test.js","",""
"","5630","should show main content panel","Browser","Thu Mar 05 12:51:19 UTC 2026","passed","Thu Mar 05 12:51:25 UTC 2026","Theia app","theia-app.test.js","",""
"","8218","should be visible and active after opening ""sample.txt""","Electron","Thu Mar 05 12:51:29 UTC 2026","passed","Thu Mar 05 12:51:37 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","910","should be dirty after changing the file contents and clean after save","Browser","Thu Mar 05 12:51:32 UTC 2026","passed","Thu Mar 05 12:51:33 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
