"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 04:07:58 GMT 2024","Thu Jun 20 04:08:12 GMT 2024","13105","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Jun 20 04:08:06 GMT 2024","Thu Jun 20 04:08:06 GMT 2024","16","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Jun 20 04:08:01 GMT 2024","Thu Jun 20 04:08:06 GMT 2024","4652","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Jun 20 04:08:12 GMT 2024","Thu Jun 20 04:08:12 GMT 2024","955","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Jun 20 04:08:06 GMT 2024","Thu Jun 20 04:08:06 GMT 2024","217","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Jun 20 04:07:53 GMT 2024","Thu Jun 20 04:07:58 GMT 2024","4819","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Jun 20 04:07:58 GMT 2024","Thu Jun 20 04:07:58 GMT 2024","23","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Jun 20 04:07:58 GMT 2024","Thu Jun 20 04:07:58 GMT 2024","122","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Jun 20 04:08:19 GMT 2024","Thu Jun 20 04:08:20 GMT 2024","1127","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Jun 20 04:08:06 GMT 2024","Thu Jun 20 04:08:19 GMT 2024","12555","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
