"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","should show status bar","Electron","Thu May 07 07:56:24 UTC 2026","passed","Thu May 07 07:56:24 UTC 2026","Theia app","theia-app.test.js","",""
"","21","should show status bar","Browser","Thu May 07 07:56:19 UTC 2026","passed","Thu May 07 07:56:19 UTC 2026","Theia app","theia-app.test.js","",""
"","6318","should show main content panel","Electron","Thu May 07 07:56:18 UTC 2026","passed","Thu May 07 07:56:24 UTC 2026","Theia app","theia-app.test.js","",""
"","124","should have menu bar items","Electron","Thu May 07 07:56:24 UTC 2026","passed","Thu May 07 07:56:24 UTC 2026","Theia app","theia-app.test.js","",""
"","8724","should be visible and active after opening ""sample.txt""","Electron","Thu May 07 07:56:24 UTC 2026","passed","Thu May 07 07:56:33 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","188","should have menu bar items","Browser","Thu May 07 07:56:19 UTC 2026","passed","Thu May 07 07:56:20 UTC 2026","Theia app","theia-app.test.js","",""
"","875","should be dirty after changing the file contents and clean after save","Electron","Thu May 07 07:56:33 UTC 2026","passed","Thu May 07 07:56:34 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","773","should be dirty after changing the file contents and clean after save","Browser","Thu May 07 07:56:27 UTC 2026","passed","Thu May 07 07:56:27 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","4737","should show main content panel","Browser","Thu May 07 07:56:15 UTC 2026","passed","Thu May 07 07:56:19 UTC 2026","Theia app","theia-app.test.js","",""
"","6948","should be visible and active after opening ""sample.txt""","Browser","Thu May 07 07:56:20 UTC 2026","passed","Thu May 07 07:56:27 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
