"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 04:11:38 GMT 2024","Mon Sep 30 04:11:38 GMT 2024","21","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Sep 30 04:11:56 GMT 2024","Mon Sep 30 04:11:57 GMT 2024","920","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Sep 30 04:11:38 GMT 2024","Mon Sep 30 04:11:39 GMT 2024","225","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Sep 30 04:11:34 GMT 2024","Mon Sep 30 04:11:38 GMT 2024","4252","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Sep 30 04:11:39 GMT 2024","Mon Sep 30 04:11:52 GMT 2024","13166","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Sep 30 04:11:34 GMT 2024","Mon Sep 30 04:11:41 GMT 2024","6794","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Mon Sep 30 04:11:41 GMT 2024","Mon Sep 30 04:11:41 GMT 2024","109","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Mon Sep 30 04:11:41 GMT 2024","Mon Sep 30 04:11:41 GMT 2024","23","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Mon Sep 30 04:11:41 GMT 2024","Mon Sep 30 04:11:56 GMT 2024","14627","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Sep 30 04:11:52 GMT 2024","Mon Sep 30 04:11:53 GMT 2024","1099","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
