"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 04:23:36 GMT 2023","Sun Nov 26 04:23:36 GMT 2023","19","","","Theia app","","","should show status bar",""
"passed","Sun Nov 26 04:23:36 GMT 2023","Sun Nov 26 04:23:48 GMT 2023","12014","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sun Nov 26 04:23:36 GMT 2023","Sun Nov 26 04:23:36 GMT 2023","36","","","Theia app","","","should have menu bar items",""
"passed","Sun Nov 26 04:23:48 GMT 2023","Sun Nov 26 04:23:49 GMT 2023","792","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Nov 26 04:23:32 GMT 2023","Sun Nov 26 04:23:36 GMT 2023","3974","","","Theia app","","","should show main content panel",""
