"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9792","should show main content panel","Electron","Wed Jul 15 05:10:00 UTC 2026","passed","Wed Jul 15 05:10:09 UTC 2026","Theia app","theia-app.test.js","",""
"","7297","should be visible and active after opening ""sample.txt""","Browser","Wed Jul 15 05:10:10 UTC 2026","passed","Wed Jul 15 05:10:18 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","985","should be dirty after changing the file contents and clean after save","Electron","Wed Jul 15 05:10:19 UTC 2026","passed","Wed Jul 15 05:10:20 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","31","should show status bar","Electron","Wed Jul 15 05:10:09 UTC 2026","passed","Wed Jul 15 05:10:09 UTC 2026","Theia app","theia-app.test.js","",""
"","6565","should show main content panel","Browser","Wed Jul 15 05:10:04 UTC 2026","passed","Wed Jul 15 05:10:10 UTC 2026","Theia app","theia-app.test.js","",""
"","952","should be dirty after changing the file contents and clean after save","Browser","Wed Jul 15 05:10:18 UTC 2026","passed","Wed Jul 15 05:10:19 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","9130","should be visible and active after opening ""sample.txt""","Electron","Wed Jul 15 05:10:10 UTC 2026","passed","Wed Jul 15 05:10:19 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","199","should have menu bar items","Browser","Wed Jul 15 05:10:10 UTC 2026","passed","Wed Jul 15 05:10:10 UTC 2026","Theia app","theia-app.test.js","",""
"","124","should have menu bar items","Electron","Wed Jul 15 05:10:09 UTC 2026","passed","Wed Jul 15 05:10:10 UTC 2026","Theia app","theia-app.test.js","",""
"","29","should show status bar","Browser","Wed Jul 15 05:10:10 UTC 2026","passed","Wed Jul 15 05:10:10 UTC 2026","Theia app","theia-app.test.js","",""
