"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","862","should be dirty after changing the file contents and clean after save","Browser","Mon Mar 23 04:56:53 UTC 2026","passed","Mon Mar 23 04:56:54 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","6536","should be visible and active after opening ""sample.txt""","Browser","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:53 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","54","should show status bar","Browser","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
"","8408","should be visible and active after opening ""sample.txt""","Electron","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:54 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","218","should have menu bar items","Browser","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
"","6274","should show main content panel","Browser","Mon Mar 23 04:56:40 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
"","168","should have menu bar items","Electron","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
"","7719","should show main content panel","Electron","Mon Mar 23 04:56:38 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
"","1032","should be dirty after changing the file contents and clean after save","Electron","Mon Mar 23 04:56:54 UTC 2026","passed","Mon Mar 23 04:56:55 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","28","should show status bar","Electron","Mon Mar 23 04:56:46 UTC 2026","passed","Mon Mar 23 04:56:46 UTC 2026","Theia app","theia-app.test.js","",""
