"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 15 04:09:10 GMT 2024","Thu Feb 15 04:09:14 GMT 2024","4148","","","Theia app","","","should show main content panel",""
"passed","Thu Feb 15 04:09:26 GMT 2024","Thu Feb 15 04:09:26 GMT 2024","760","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Feb 15 04:09:14 GMT 2024","Thu Feb 15 04:09:14 GMT 2024","38","","","Theia app","","","should have menu bar items",""
"passed","Thu Feb 15 04:09:14 GMT 2024","Thu Feb 15 04:09:26 GMT 2024","11871","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Feb 15 04:09:14 GMT 2024","Thu Feb 15 04:09:14 GMT 2024","24","","","Theia app","","","should show status bar",""
