"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7896","should be visible and active after opening ""sample.txt""","Electron","2026-09-03","passed","2026-09-03","Theia Text Editor","theia-text-editor.test.js","",""
"","185","should have menu bar items","Browser","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","7519","should be visible and active after opening ""sample.txt""","Browser","2026-09-03","passed","2026-09-03","Theia Text Editor","theia-text-editor.test.js","",""
"","5061","should show main content panel","Browser","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","25","should show status bar","Electron","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","34","should show status bar","Browser","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","796","should be dirty after changing the file contents and clean after save","Browser","2026-09-03","passed","2026-09-03","Theia Text Editor","theia-text-editor.test.js","",""
"","92","should have menu bar items","Electron","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","5507","should show main content panel","Electron","2026-09-03","passed","2026-09-03","Theia app","theia-app.test.js","",""
"","785","should be dirty after changing the file contents and clean after save","Electron","2026-09-03","passed","2026-09-03","Theia Text Editor","theia-text-editor.test.js","",""
