"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 09 14:57:38 GMT 2023","Mon Oct 09 14:57:53 GMT 2023","14833","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Mon Oct 09 14:57:32 GMT 2023","Mon Oct 09 14:57:38 GMT 2023","5627","","","Theia app","","","should show main content panel",""
"passed","Mon Oct 09 14:57:38 GMT 2023","Mon Oct 09 14:57:38 GMT 2023","79","","","Theia app","","","should have menu bar items",""
"passed","Mon Oct 09 14:57:53 GMT 2023","Mon Oct 09 14:57:54 GMT 2023","1083","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Mon Oct 09 14:57:38 GMT 2023","Mon Oct 09 14:57:38 GMT 2023","48","","","Theia app","","","should show status bar",""
