"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 04:11:08 GMT 2024","Sat Sep 21 04:11:09 GMT 2024","1127","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Sep 21 04:10:48 GMT 2024","Sat Sep 21 04:10:53 GMT 2024","5164","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Sep 21 04:10:53 GMT 2024","Sat Sep 21 04:10:53 GMT 2024","21","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Sep 21 04:10:54 GMT 2024","Sat Sep 21 04:10:54 GMT 2024","20","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Sep 21 04:10:50 GMT 2024","Sat Sep 21 04:10:54 GMT 2024","4150","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Sep 21 04:11:08 GMT 2024","Sat Sep 21 04:11:09 GMT 2024","933","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Sep 21 04:10:54 GMT 2024","Sat Sep 21 04:10:55 GMT 2024","265","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Sep 21 04:10:53 GMT 2024","Sat Sep 21 04:11:08 GMT 2024","14314","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sat Sep 21 04:10:53 GMT 2024","Sat Sep 21 04:10:53 GMT 2024","81","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Sep 21 04:10:55 GMT 2024","Sat Sep 21 04:11:08 GMT 2024","13107","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
