"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 04:07:57 GMT 2024","Sat Jun 01 04:08:01 GMT 2024","3793","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Jun 01 04:08:01 GMT 2024","Sat Jun 01 04:08:14 GMT 2024","12721","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sat Jun 01 04:08:01 GMT 2024","Sat Jun 01 04:08:01 GMT 2024","255","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Jun 01 04:07:58 GMT 2024","Sat Jun 01 04:08:11 GMT 2024","13133","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sat Jun 01 04:07:58 GMT 2024","Sat Jun 01 04:07:58 GMT 2024","19","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Jun 01 04:08:14 GMT 2024","Sat Jun 01 04:08:15 GMT 2024","1010","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Jun 01 04:07:58 GMT 2024","Sat Jun 01 04:07:58 GMT 2024","93","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Jun 01 04:08:11 GMT 2024","Sat Jun 01 04:08:12 GMT 2024","889","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Jun 01 04:08:01 GMT 2024","Sat Jun 01 04:08:01 GMT 2024","23","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Jun 01 04:07:53 GMT 2024","Sat Jun 01 04:07:58 GMT 2024","4727","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
