"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 04:24:56 GMT 2023","Wed Oct 11 04:24:56 GMT 2023","60","","","Theia app","","","should show status bar",""
"passed","Wed Oct 11 04:24:50 GMT 2023","Wed Oct 11 04:24:56 GMT 2023","6030","","","Theia app","","","should show main content panel",""
"passed","Wed Oct 11 04:25:12 GMT 2023","Wed Oct 11 04:25:13 GMT 2023","1202","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Oct 11 04:24:56 GMT 2023","Wed Oct 11 04:25:12 GMT 2023","15920","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Oct 11 04:24:56 GMT 2023","Wed Oct 11 04:24:56 GMT 2023","106","","","Theia app","","","should have menu bar items",""
