"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 04:08:19 GMT 2024","Wed Apr 24 04:08:20 GMT 2024","1028","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Apr 24 04:08:06 GMT 2024","Wed Apr 24 04:08:20 GMT 2024","14011","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Apr 24 04:08:00 GMT 2024","Wed Apr 24 04:08:06 GMT 2024","5921","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Apr 24 04:07:59 GMT 2024","Wed Apr 24 04:08:07 GMT 2024","7491","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Apr 24 04:08:07 GMT 2024","Wed Apr 24 04:08:07 GMT 2024","22","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Apr 24 04:08:06 GMT 2024","Wed Apr 24 04:08:06 GMT 2024","67","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Apr 24 04:08:07 GMT 2024","Wed Apr 24 04:08:19 GMT 2024","12379","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Apr 24 04:08:07 GMT 2024","Wed Apr 24 04:08:07 GMT 2024","250","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Apr 24 04:08:06 GMT 2024","Wed Apr 24 04:08:06 GMT 2024","105","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Apr 24 04:08:20 GMT 2024","Wed Apr 24 04:08:21 GMT 2024","967","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
