"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 04:24:00 GMT 2023","Fri Nov 24 04:24:05 GMT 2023","4211","","","Theia app","","","should show main content panel",""
"passed","Fri Nov 24 04:24:05 GMT 2023","Fri Nov 24 04:24:05 GMT 2023","35","","","Theia app","","","should have menu bar items",""
"passed","Fri Nov 24 04:24:05 GMT 2023","Fri Nov 24 04:24:17 GMT 2023","12046","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Fri Nov 24 04:24:17 GMT 2023","Fri Nov 24 04:24:17 GMT 2023","821","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Fri Nov 24 04:24:05 GMT 2023","Fri Nov 24 04:24:05 GMT 2023","17","","","Theia app","","","should show status bar",""
