"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 13 04:10:49 GMT 2024","Sun Oct 13 04:10:53 GMT 2024","4224","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sun Oct 13 04:10:53 GMT 2024","Sun Oct 13 04:11:06 GMT 2024","13055","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sun Oct 13 04:11:06 GMT 2024","Sun Oct 13 04:11:07 GMT 2024","969","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Oct 13 04:11:07 GMT 2024","Sun Oct 13 04:11:08 GMT 2024","964","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Oct 13 04:10:53 GMT 2024","Sun Oct 13 04:10:53 GMT 2024","242","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sun Oct 13 04:10:53 GMT 2024","Sun Oct 13 04:10:53 GMT 2024","19","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sun Oct 13 04:10:52 GMT 2024","Sun Oct 13 04:10:52 GMT 2024","148","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sun Oct 13 04:10:52 GMT 2024","Sun Oct 13 04:10:52 GMT 2024","32","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sun Oct 13 04:10:46 GMT 2024","Sun Oct 13 04:10:52 GMT 2024","6186","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sun Oct 13 04:10:52 GMT 2024","Sun Oct 13 04:11:07 GMT 2024","14958","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
