"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 04:26:34 GMT 2023","Sun Jul 16 04:26:42 GMT 2023","7499","","","Theia App","","","should be fast in opening, changing and saving a text file",""
"passed","Sun Jul 16 04:26:28 GMT 2023","Sun Jul 16 04:26:34 GMT 2023","5863","","","Theia app","","","should show main content panel",""
"passed","Sun Jul 16 04:26:42 GMT 2023","Sun Jul 16 04:26:56 GMT 2023","14345","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sun Jul 16 04:26:34 GMT 2023","Sun Jul 16 04:26:34 GMT 2023","63","","","Theia app","","","should have menu bar items",""
"passed","Sun Jul 16 04:26:56 GMT 2023","Sun Jul 16 04:26:57 GMT 2023","859","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sun Jul 16 04:26:34 GMT 2023","Sun Jul 16 04:26:34 GMT 2023","33","","","Theia app","","","should show status bar",""
