"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","941","should be dirty after changing the file contents and clean after save","Electron","Fri Jul 10 05:30:25 UTC 2026","passed","Fri Jul 10 05:30:26 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","153","should have menu bar items","Electron","Fri Jul 10 05:30:16 UTC 2026","passed","Fri Jul 10 05:30:16 UTC 2026","Theia app","theia-app.test.js","",""
"","172","should have menu bar items","Browser","Fri Jul 10 05:30:09 UTC 2026","passed","Fri Jul 10 05:30:09 UTC 2026","Theia app","theia-app.test.js","",""
"","9223","should be visible and active after opening ""sample.txt""","Electron","Fri Jul 10 05:30:16 UTC 2026","passed","Fri Jul 10 05:30:25 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","7455","should be visible and active after opening ""sample.txt""","Browser","Fri Jul 10 05:30:09 UTC 2026","passed","Fri Jul 10 05:30:16 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","7919","should show main content panel","Electron","Fri Jul 10 05:30:08 UTC 2026","passed","Fri Jul 10 05:30:16 UTC 2026","Theia app","theia-app.test.js","",""
"","5143","should show main content panel","Browser","Fri Jul 10 05:30:04 UTC 2026","passed","Fri Jul 10 05:30:09 UTC 2026","Theia app","theia-app.test.js","",""
"","932","should be dirty after changing the file contents and clean after save","Browser","Fri Jul 10 05:30:16 UTC 2026","passed","Fri Jul 10 05:30:17 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","38","should show status bar","Electron","Fri Jul 10 05:30:16 UTC 2026","passed","Fri Jul 10 05:30:16 UTC 2026","Theia app","theia-app.test.js","",""
"","29","should show status bar","Browser","Fri Jul 10 05:30:09 UTC 2026","passed","Fri Jul 10 05:30:09 UTC 2026","Theia app","theia-app.test.js","",""
