"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 04:11:15 GMT 2024","Thu Sep 19 04:11:15 GMT 2024","21","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Sep 19 04:11:21 GMT 2024","Thu Sep 19 04:11:35 GMT 2024","13245","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Sep 19 04:11:15 GMT 2024","Thu Sep 19 04:11:15 GMT 2024","80","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Sep 19 04:11:35 GMT 2024","Thu Sep 19 04:11:36 GMT 2024","1105","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Sep 19 04:11:21 GMT 2024","Thu Sep 19 04:11:21 GMT 2024","25","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Thu Sep 19 04:11:16 GMT 2024","Thu Sep 19 04:11:21 GMT 2024","4778","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Sep 19 04:11:30 GMT 2024","Thu Sep 19 04:11:31 GMT 2024","1096","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Thu Sep 19 04:11:08 GMT 2024","Thu Sep 19 04:11:15 GMT 2024","6620","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Thu Sep 19 04:11:21 GMT 2024","Thu Sep 19 04:11:21 GMT 2024","269","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Thu Sep 19 04:11:15 GMT 2024","Thu Sep 19 04:11:30 GMT 2024","14945","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
