"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 04:08:52 GMT 2024","Thu Feb 22 04:08:56 GMT 2024","4493","","","Theia app","","","should show main content panel",""
"passed","Thu Feb 22 04:08:56 GMT 2024","Thu Feb 22 04:09:08 GMT 2024","12079","","","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Thu Feb 22 04:08:56 GMT 2024","Thu Feb 22 04:08:56 GMT 2024","18","","","Theia app","","","should show status bar",""
"passed","Thu Feb 22 04:08:56 GMT 2024","Thu Feb 22 04:08:56 GMT 2024","38","","","Theia app","","","should have menu bar items",""
"passed","Thu Feb 22 04:09:08 GMT 2024","Thu Feb 22 04:09:09 GMT 2024","841","","","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
