"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 02 04:11:14 GMT 2024","Wed Oct 02 04:11:14 GMT 2024","84","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Oct 02 04:11:20 GMT 2024","Wed Oct 02 04:11:20 GMT 2024","241","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Wed Oct 02 04:11:14 GMT 2024","Wed Oct 02 04:11:14 GMT 2024","21","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Oct 02 04:11:20 GMT 2024","Wed Oct 02 04:11:33 GMT 2024","13280","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Oct 02 04:11:33 GMT 2024","Wed Oct 02 04:11:34 GMT 2024","1120","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Oct 02 04:11:14 GMT 2024","Wed Oct 02 04:11:29 GMT 2024","14753","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Wed Oct 02 04:11:20 GMT 2024","Wed Oct 02 04:11:20 GMT 2024","20","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Wed Oct 02 04:11:09 GMT 2024","Wed Oct 02 04:11:14 GMT 2024","5224","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Wed Oct 02 04:11:29 GMT 2024","Wed Oct 02 04:11:30 GMT 2024","930","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Wed Oct 02 04:11:15 GMT 2024","Wed Oct 02 04:11:20 GMT 2024","4287","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
