"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 14 04:10:56 GMT 2024","Sat Dec 14 04:10:56 GMT 2024","82","Electron","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Dec 14 04:10:56 GMT 2024","Sat Dec 14 04:10:56 GMT 2024","23","Electron","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Dec 14 04:11:01 GMT 2024","Sat Dec 14 04:11:06 GMT 2024","4478","Browser","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Dec 14 04:11:19 GMT 2024","Sat Dec 14 04:11:20 GMT 2024","1082","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
"passed","Sat Dec 14 04:11:06 GMT 2024","Sat Dec 14 04:11:19 GMT 2024","13433","Browser","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sat Dec 14 04:10:51 GMT 2024","Sat Dec 14 04:10:56 GMT 2024","4976","Electron","theia-app.test.js","Theia app","","","should show main content panel",""
"passed","Sat Dec 14 04:11:06 GMT 2024","Sat Dec 14 04:11:06 GMT 2024","23","Browser","theia-app.test.js","Theia app","","","should show status bar",""
"passed","Sat Dec 14 04:10:56 GMT 2024","Sat Dec 14 04:11:14 GMT 2024","18219","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be visible and active after opening ""sample.txt""",""
"passed","Sat Dec 14 04:11:06 GMT 2024","Sat Dec 14 04:11:06 GMT 2024","261","Browser","theia-app.test.js","Theia app","","","should have menu bar items",""
"passed","Sat Dec 14 04:11:14 GMT 2024","Sat Dec 14 04:11:15 GMT 2024","967","Electron","theia-text-editor.test.js","Theia Text Editor","","","should be dirty after changing the file contents and clean after save",""
