"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5590","should show main content panel","Browser","Sun Apr 26 05:14:22 UTC 2026","passed","Sun Apr 26 05:14:28 UTC 2026","Theia app","theia-app.test.js","",""
"","29","should show status bar","Browser","Sun Apr 26 05:14:28 UTC 2026","passed","Sun Apr 26 05:14:28 UTC 2026","Theia app","theia-app.test.js","",""
"","34","should show status bar","Electron","Sun Apr 26 05:14:32 UTC 2026","passed","Sun Apr 26 05:14:32 UTC 2026","Theia app","theia-app.test.js","",""
"","1024","should be dirty after changing the file contents and clean after save","Electron","Sun Apr 26 05:14:42 UTC 2026","passed","Sun Apr 26 05:14:43 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","214","should have menu bar items","Browser","Sun Apr 26 05:14:28 UTC 2026","passed","Sun Apr 26 05:14:28 UTC 2026","Theia app","theia-app.test.js","",""
"","142","should have menu bar items","Electron","Sun Apr 26 05:14:32 UTC 2026","passed","Sun Apr 26 05:14:33 UTC 2026","Theia app","theia-app.test.js","",""
"","716","should be dirty after changing the file contents and clean after save","Browser","Sun Apr 26 05:14:34 UTC 2026","passed","Sun Apr 26 05:14:35 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","8976","should be visible and active after opening ""sample.txt""","Electron","Sun Apr 26 05:14:33 UTC 2026","passed","Sun Apr 26 05:14:42 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","6581","should be visible and active after opening ""sample.txt""","Browser","Sun Apr 26 05:14:28 UTC 2026","passed","Sun Apr 26 05:14:34 UTC 2026","Theia Text Editor","theia-text-editor.test.js","",""
"","8112","should show main content panel","Electron","Sun Apr 26 05:14:24 UTC 2026","passed","Sun Apr 26 05:14:32 UTC 2026","Theia app","theia-app.test.js","",""
